        1     0.956204494E+00     0.437955059E-01
        2     0.999892922E+00     0.107077581E-03
        3     0.999962939E+00     0.370606926E-04
        4     0.982964135E-02     0.138950204E-01
        5     0.149232614E-01     0.000000000E+00
        6     0.100000000E+01     0.000000000E+00
        7     0.158980426E-01     0.000000000E+00
        8     0.999858559E+00     0.141440745E-03
        9     0.999950761E+00     0.492394608E-04
       10     0.100000000E+01     0.162379462E-09
       11     0.999999540E+00     0.459652655E-06
       12     0.991016283E+00     0.898371662E-02
       13     0.100000000E+01     0.000000000E+00
       14     0.940271494E+00     0.597285060E-01
       15     0.100000000E+01     0.000000000E+00
       16     0.100000000E+01     0.000000000E+00
       17     0.100000000E+01     0.000000000E+00
       18     0.100000000E+01     0.000000000E+00
       19     0.997687502E+00     0.231249762E-02
       20     0.906129830E+00     0.938701701E-01
       21     0.321021196E-01     0.219359563E-02
       22     0.902106335E+00     0.978936647E-01
       23     0.968131358E+00     0.318686424E-01
       24     0.100000000E+01     0.000000000E+00
       25     0.100000000E+01     0.000000000E+00
       26     0.100000000E+01     0.000000000E+00
       27     0.100000000E+01     0.000000000E+00
       28     0.976842528E+00     0.231574723E-01
       29     0.100000000E+01     0.000000000E+00
       30     0.100000000E+01     0.000000000E+00
       31     0.100000000E+01     0.000000000E+00
       32     0.100000000E+01     0.000000000E+00
       33     0.471922881E-01     0.249922471E-08
       34     0.100000000E+01     0.000000000E+00
       35     0.471647125E-02     0.158682123E-04
       36     0.100000000E+01     0.000000000E+00
       37     0.999284762E+00     0.715238276E-03
       38     0.100000000E+01     0.000000000E+00
       39     0.100000000E+01     0.000000000E+00
       40     0.100000000E+01     0.000000000E+00
       41     0.100000000E+01     0.000000000E+00
       42     0.935981339E+00     0.640186611E-01
       43     0.326548784E-02     0.000000000E+00
       44     0.100000000E+01     0.000000000E+00
       45     0.857493482E-02     0.659895874E-05
       46     0.996333923E+00     0.366607716E-02
       47     0.999531013E+00     0.468987461E-03
       48     0.100000000E+01     0.000000000E+00
       49     0.934568445E+00     0.654315552E-01
       50     0.100000000E+01     0.000000000E+00
