# Made with DarkSUSY version ds-4.1.2                                          
#..log(deltav). ...table(i)...
 0.49721447E+01 0.12201581E-03
 0.49793403E+01 0.11321320E-03
 0.49865358E+01 0.10498933E-03
 0.49937314E+01 0.97310332E-04
 0.50081226E+01 0.83459737E-04
 0.50656872E+01 0.44162386E-04
 0.51808165E+01 0.11035444E-04
 0.52959457E+01 0.23351646E-05
 0.54110750E+01 0.41039826E-06
 0.55262042E+01 0.58610065E-07
 0.56413335E+01 0.66368661E-08
