#......tp...... ...t_diff....
 0.21877616E+02 0.15039852E+01
 0.22908677E+02 0.14717886E+01
 0.23988329E+02 0.14400462E+01
 0.25118864E+02 0.14087640E+01
 0.26302680E+02 0.13779470E+01
 0.27542287E+02 0.13475996E+01
 0.28840315E+02 0.13177254E+01
 0.30199517E+02 0.12883273E+01
 0.31622777E+02 0.12594077E+01
 0.33113112E+02 0.12309682E+01
 0.34673685E+02 0.12030098E+01
 0.36307805E+02 0.11755332E+01
 0.38018940E+02 0.11485381E+01
 0.39810717E+02 0.11220241E+01
 0.41686938E+02 0.10959901E+01
 0.43651583E+02 0.10704345E+01
 0.45708819E+02 0.10453553E+01
 0.47863009E+02 0.10207502E+01
 0.50118723E+02 0.99661640E+00
 0.52480746E+02 0.97295074E+00
 0.54954087E+02 0.94974975E+00
 0.57543994E+02 0.92700962E+00
 0.60255959E+02 0.90472628E+00
 0.63095734E+02 0.88289535E+00
 0.66069345E+02 0.86151224E+00
 0.69183097E+02 0.84057210E+00
 0.72443596E+02 0.82006988E+00
 0.75857758E+02 0.80000035E+00
 0.79432823E+02 0.78035810E+00
 0.83176377E+02 0.76113756E+00
 0.87096359E+02 0.74233303E+00
 0.91201084E+02 0.72393869E+00
 0.95499259E+02 0.70594859E+00
 0.10000000E+03 0.68835673E+00
 0.10471285E+03 0.67115698E+00
 0.10964782E+03 0.65434318E+00
 0.11481536E+03 0.63790911E+00
 0.12022644E+03 0.62184848E+00
 0.12589254E+03 0.60615502E+00
 0.13182567E+03 0.59082238E+00
 0.13803843E+03 0.57584423E+00
 0.14454398E+03 0.56121424E+00
 0.15135612E+03 0.54692606E+00
 0.15848932E+03 0.53297338E+00
 0.16595869E+03 0.51934989E+00
 0.17378008E+03 0.50604932E+00
 0.18197009E+03 0.49306542E+00
 0.19054607E+03 0.48039200E+00
 0.19952623E+03 0.46802288E+00
 0.20892961E+03 0.45595195E+00
 0.21877616E+03 0.44417317E+00
 0.22908677E+03 0.43268052E+00
 0.23988329E+03 0.42146807E+00
 0.25118864E+03 0.41052995E+00
 0.26302680E+03 0.39986034E+00
 0.27542287E+03 0.38945351E+00
 0.28840315E+03 0.37930380E+00
 0.30199517E+03 0.36940562E+00
 0.31622777E+03 0.35975346E+00
 0.33113112E+03 0.35034189E+00
 0.34673685E+03 0.34116556E+00
 0.36307805E+03 0.33221920E+00
 0.38018940E+03 0.32349763E+00
 0.39810717E+03 0.31499574E+00
 0.41686938E+03 0.30670852E+00
 0.43651583E+03 0.29863103E+00
 0.45708819E+03 0.29075844E+00
 0.47863009E+03 0.28308597E+00
 0.50118723E+03 0.27560895E+00
 0.52480746E+03 0.26832280E+00
 0.54954087E+03 0.26122300E+00
 0.57543994E+03 0.25430515E+00
 0.60255959E+03 0.24756490E+00
 0.63095734E+03 0.24099802E+00
 0.66069345E+03 0.23460032E+00
 0.69183097E+03 0.22836774E+00
 0.72443596E+03 0.22229627E+00
 0.75857758E+03 0.21638199E+00
 0.79432823E+03 0.21062108E+00
 0.83176377E+03 0.20500977E+00
 0.87096359E+03 0.19954439E+00
 0.91201084E+03 0.19422134E+00
 0.95499259E+03 0.18903710E+00
 0.10000000E+04 0.18398823E+00
