# Made with DarkSUSY version trunk (rev 134)                                   
#..log(deltav). ...table(i)...
 0.54614440E+01 0.30189254E-03
 0.54686396E+01 0.28133142E-03
 0.54758352E+01 0.26204304E-03
 0.54830308E+01 0.24395745E-03
 0.54902263E+01 0.22700799E-03
 0.54974219E+01 0.21113117E-03
 0.55046175E+01 0.19626651E-03
 0.55118131E+01 0.18235649E-03
 0.55190086E+01 0.16934637E-03
 0.55262042E+01 0.15718413E-03
 0.55333998E+01 0.14582035E-03
 0.55405954E+01 0.13520808E-03
 0.55549865E+01 0.11606216E-03
 0.55837689E+01 0.84976977E-04
 0.56413335E+01 0.44369202E-04
 0.57564627E+01 0.10810031E-04
 0.58715920E+01 0.22342101E-05
 0.59867212E+01 0.38415511E-06
 0.61018505E+01 0.53760234E-07
 0.62169798E+01 0.59742443E-08
