#......tp...... ...t_diff....
 0.21877616E+02 0.17133204E+01
 0.22908677E+02 0.16776033E+01
 0.23988329E+02 0.16423388E+01
 0.25118864E+02 0.16075366E+01
 0.26302680E+02 0.15732051E+01
 0.27542287E+02 0.15393522E+01
 0.28840315E+02 0.15059845E+01
 0.30199517E+02 0.14731081E+01
 0.31622777E+02 0.14407280E+01
 0.33113112E+02 0.14088486E+01
 0.34673685E+02 0.13774734E+01
 0.36307805E+02 0.13466052E+01
 0.38018940E+02 0.13162462E+01
 0.39810717E+02 0.12863978E+01
 0.41686938E+02 0.12570609E+01
 0.43651583E+02 0.11411851E+01
 0.45708819E+02 0.11151895E+01
 0.47863009E+02 0.10896444E+01
 0.50118723E+02 0.10645499E+01
 0.52480746E+02 0.10399055E+01
 0.54954087E+02 0.10157101E+01
 0.57543994E+02 0.99196219E+00
 0.60255959E+02 0.96865990E+00
 0.63095734E+02 0.94580092E+00
 0.66069345E+02 0.92338257E+00
 0.69183097E+02 0.90140181E+00
 0.72443596E+02 0.87985529E+00
 0.75857758E+02 0.85873937E+00
 0.79432823E+02 0.83805013E+00
 0.83176377E+02 0.81778338E+00
 0.87096359E+02 0.79793471E+00
 0.91201084E+02 0.77849951E+00
 0.95499259E+02 0.75947294E+00
 0.10000000E+03 0.74085002E+00
 0.10471285E+03 0.72262559E+00
 0.10964782E+03 0.70479437E+00
 0.11481536E+03 0.68735094E+00
 0.12022644E+03 0.67028976E+00
 0.12589254E+03 0.65360523E+00
 0.13182567E+03 0.63729162E+00
 0.13803843E+03 0.62134317E+00
 0.14454398E+03 0.60575404E+00
 0.15135612E+03 0.59051836E+00
 0.15848932E+03 0.57563020E+00
 0.16595869E+03 0.56108364E+00
 0.17378008E+03 0.54687272E+00
 0.18197009E+03 0.53299147E+00
 0.19054607E+03 0.51943393E+00
 0.19952623E+03 0.50619414E+00
 0.20892961E+03 0.49326618E+00
 0.21877616E+03 0.48064413E+00
 0.22908677E+03 0.46832210E+00
 0.23988329E+03 0.45629423E+00
 0.25118864E+03 0.44455472E+00
 0.26302680E+03 0.43309780E+00
 0.27542287E+03 0.42191775E+00
 0.28840315E+03 0.41100890E+00
 0.30199517E+03 0.40036564E+00
 0.31622777E+03 0.38998243E+00
 0.33113112E+03 0.37985377E+00
 0.34673685E+03 0.36997425E+00
 0.36307805E+03 0.36033851E+00
 0.38018940E+03 0.35094127E+00
 0.39810717E+03 0.34177731E+00
 0.41686938E+03 0.33284151E+00
 0.43651583E+03 0.32412880E+00
 0.45708819E+03 0.31563420E+00
 0.47863009E+03 0.30735280E+00
 0.50118723E+03 0.29927978E+00
 0.52480746E+03 0.29141037E+00
 0.54954087E+03 0.28373993E+00
 0.57543994E+03 0.27626386E+00
 0.60255959E+03 0.26897764E+00
 0.63095734E+03 0.26187686E+00
 0.66069345E+03 0.25495718E+00
 0.69183097E+03 0.24821431E+00
 0.72443596E+03 0.24164408E+00
 0.75857758E+03 0.23524239E+00
 0.79432823E+03 0.22900521E+00
 0.83176377E+03 0.22292859E+00
 0.87096359E+03 0.21700867E+00
 0.91201084E+03 0.21124165E+00
 0.95499259E+03 0.20562383E+00
 0.10000000E+04 0.20015158E+00
