m1    m2    nbkg    nsig    nexpsig
800    50    11    -2    2
750    200    11    -2    2
400    250    127    -6    56
750    150    11    -2    1
450    200    36    3    31
750    250    11    -2    2
450    300    195    -11    37
800    300    11    -2    1
650    0    11    -2    5
750    300    19    2    2
650    100    11    -2    5
